district_id,district_name,year,metro_state_id,open_station_count,population_modelled_available,population_growth_pct_from_2015,metro_access_population_standardized,metro_access_pct_standardized,metro_access_pct_change_from_2015_pp,population_model_status,population_projection_flag,geography_version
1726283,Sergeli district,2021,metro_state_43,43,52525.80828,11.228992,2451.300551,4.666849747,4.666849747,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2022,metro_state_43,43,53579.512288,13.460322,2500.732192,4.667329144,4.667329144,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2023,metro_state_48,48,54680.224311,15.791197,6222.601248,11.37998486,11.37998486,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2024,metro_state_50,50,55790.046113,18.141363,7202.91312,12.910749537,12.910749537,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2025,metro_state_50,50,56878.976511,20.447289,7340.749661,12.905910252,12.905910252,modelled_estimate,False,current_12_district_analysis_geometry
1726283,Sergeli district,2026,metro_state_50,50,57933.111058,22.679531,7474.920642,12.902674318,12.902674318,modelled_estimate,True,current_12_district_analysis_geometry
1726287,Yakkasaray district,2015,metro_state_29,29,229091.200849,0.0,14819.308639,6.468737596,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2016,metro_state_29,29,233121.57376,1.759288,15043.613983,6.453119606,-0.01561799,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2017,metro_state_29,29,237136.797185,3.511962,15268.616838,6.438737901,-0.029999695,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2018,metro_state_29,29,241158.059153,5.267273,15493.959248,6.424815037,-0.043922559,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2019,metro_state_29,29,245469.417687,7.149213,15729.034738,6.407737015,-0.061000581,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2020,metro_state_43,43,250045.243148,9.146594,15980.178127,6.39091467,-0.077822926,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2021,metro_state_43,43,254814.486376,11.228404,16244.915208,6.375192965,-0.093544632,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2022,metro_state_43,43,259926.285723,13.459742,16523.102307,6.356841618,-0.111895978,modelled_estimate,False,current_12_district_analysis_geometry
1726287,Yakkasaray district,2023,metro_state_48,48,265265.774555,15.790468,16821.382777,6.341331747,-0.127405849,modelled_estimate,False,current_12_district_analysis_geometry
